Position,TeamName,Abbreviation,GridPosition,Points,Race,Round,Year
1.0,Mercedes,ANT,2.0,25.0,Emilia Romagna Grand Prix,5,2026
2.0,Ferrari,HAM,5.0,18.0,Emilia Romagna Grand Prix,5,2026
3.0,Red Bull Racing,VER,6.0,15.0,Emilia Romagna Grand Prix,5,2026
4.0,Ferrari,LEC,8.0,12.0,Emilia Romagna Grand Prix,5,2026
5.0,Red Bull Racing,HAD,7.0,10.0,Emilia Romagna Grand Prix,5,2026
6.0,Alpine,COL,10.0,8.0,Emilia Romagna Grand Prix,5,2026
7.0,Racing Bulls,LAW,12.0,6.0,Emilia Romagna Grand Prix,5,2026
8.0,Alpine,GAS,14.0,4.0,Emilia Romagna Grand Prix,5,2026
9.0,Williams,SAI,15.0,2.0,Emilia Romagna Grand Prix,5,2026
10.0,Haas F1 Team,BEA,16.0,1.0,Emilia Romagna Grand Prix,5,2026
11.0,McLaren,PIA,4.0,0.0,Emilia Romagna Grand Prix,5,2026
12.0,Audi,HUL,11.0,0.0,Emilia Romagna Grand Prix,5,2026
13.0,Audi,BOR,13.0,0.0,Emilia Romagna Grand Prix,5,2026
14.0,Haas F1 Team,OCO,17.0,0.0,Emilia Romagna Grand Prix,5,2026
15.0,Aston Martin,STR,22.0,0.0,Emilia Romagna Grand Prix,5,2026
16.0,Cadillac,BOT,21.0,0.0,Emilia Romagna Grand Prix,5,2026
17.0,Cadillac,PER,20.0,0.0,Emilia Romagna Grand Prix,5,2026
18.0,McLaren,NOR,3.0,0.0,Emilia Romagna Grand Prix,5,2026
19.0,Mercedes,RUS,1.0,0.0,Emilia Romagna Grand Prix,5,2026
20.0,Aston Martin,ALO,19.0,0.0,Emilia Romagna Grand Prix,5,2026
21.0,Williams,ALB,18.0,0.0,Emilia Romagna Grand Prix,5,2026
22.0,Racing Bulls,LIN,9.0,0.0,Emilia Romagna Grand Prix,5,2026
